"SampleName","smokingscore_EM","smokingscore_ZM","logCoeff_CS","logCoeff_FS","logCoeff_NS","PredictedSmokingStatus","probs_CS","probs_FS","probs_NS","PredictedSmokingStatus2"
"GSM1051713_7800246034_R04C01","0.68","-6.47","-0.34","0.14","0.20","Never Smoker","0.23","0.37","0.40","Never Smoker"
"GSM1051714_7800246034_R05C01","-3.98","-8.43","-1.71","0.45","1.26","Never Smoker","0.03","0.30","0.67","Never Smoker"
"GSM1051715_7800246034_R06C01","6.10","-6.03","0.66","-0.02","-0.63","Current Smoker","0.56","0.28","0.15","Current Smoker"
"GSM1051716_7800246034_R01C02","-4.69","-10.15","-1.36","0.16","1.20","Never Smoker","0.05","0.25","0.70","Never Smoker"
"GSM1051717_7800246034_R02C02","5.97","-3.94","0.56","-0.26","-0.30","Current Smoker","0.54","0.24","0.23","Current Smoker"
"GSM1051718_7800246034_R03C02","-1.33","-7.52","-0.45","-0.22","0.67","Never Smoker","0.19","0.24","0.57","Never Smoker"
"GSM1051719_7800246034_R04C02","8.41","-2.95","2.54","-1.01","-1.53","Current Smoker","0.96","0.03","0.02","Current Smoker"
"GSM1051720_7800246034_R05C02","10.52","-3.63","2.19","-0.95","-1.24","Current Smoker","0.93","0.04","0.03","Current Smoker"
"GSM1051721_7800246034_R06C02","3.13","-6.21","-0.67","-0.16","0.82","Never Smoker","0.14","0.23","0.62","Never Smoker"
"GSM1051722_7800246040_R01C01","-4.13","-7.86","-1.26","0.09","1.17","Never Smoker","0.06","0.24","0.70","Never Smoker"
"GSM1051723_7800246040_R02C01","4.79","-5.68","0.36","-0.28","-0.08","Current Smoker","0.46","0.24","0.30","Current Smoker"
"GSM1051724_7800246040_R03C01","4.34","-4.48","0.53","0.20","-0.73","Current Smoker","0.50","0.36","0.14","Current Smoker"
"GSM1051725_7800246040_R04C01","12.18","-3.60","1.69","-0.20","-1.49","Current Smoker","0.84","0.13","0.03","Current Smoker"
"GSM1051726_7800246040_R05C01","2.07","-6.71","-0.18","-0.56","0.74","Never Smoker","0.24","0.16","0.60","Never Smoker"
"GSM1051727_7800246040_R06C01","2.88","-8.68","-0.18","-0.54","0.72","Never Smoker","0.24","0.17","0.59","Never Smoker"
"GSM1051728_7800246040_R01C02","13.19","-3.50","1.65","-0.15","-1.50","Current Smoker","0.83","0.14","0.04","Current Smoker"
"GSM1051729_7800246040_R02C02","-1.25","-8.61","-0.80","-0.38","1.19","Never Smoker","0.10","0.15","0.74","Never Smoker"
"GSM1051730_7800246040_R03C02","-0.48","-8.13","-1.28","-0.04","1.32","Never Smoker","0.06","0.19","0.75","Never Smoker"
"GSM1051731_7800246040_R04C02","2.50","-7.53","-0.92","0.37","0.55","Never Smoker","0.11","0.41","0.48","Never Smoker"
"GSM1051732_7800246040_R05C02","-1.85","-7.89","-1.48","0.27","1.21","Never Smoker","0.05","0.27","0.68","Never Smoker"
"GSM1051733_7800246040_R06C02","2.97","-10.90","-0.95","0.46","0.50","Never Smoker","0.11","0.44","0.46","Never Smoker"
"GSM1051734_7800246041_R01C01","-5.73","-9.50","-1.49","-0.15","1.63","Never Smoker","0.04","0.14","0.82","Never Smoker"
"GSM1051735_7800246041_R02C01","-2.79","-8.33","-0.27","-0.05","0.31","Never Smoker","0.25","0.31","0.44","Never Smoker"
"GSM1051736_7800246041_R03C01","-0.96","-8.97","-1.11","-0.24","1.35","Never Smoker","0.07","0.16","0.78","Never Smoker"
"GSM1051737_7800246041_R04C01","3.12","-6.81","-0.09","-0.50","0.59","Never Smoker","0.27","0.18","0.54","Never Smoker"
"GSM1051738_7800246041_R05C01","2.22","-7.45","-0.26","-0.09","0.35","Never Smoker","0.25","0.29","0.46","Never Smoker"
"GSM1051739_7800246041_R06C01","-2.52","-10.20","-2.06","0.15","1.91","Never Smoker","0.02","0.14","0.84","Never Smoker"
"GSM1051740_7800246041_R01C02","2.05","-6.29","-0.11","0.09","0.02","Former Smoker","0.30","0.36","0.34","Former Smoker"
